"column","type","dummy_block","dummy_option"
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?/Мессенжерлар (Telegram/WhatsApp) орқали эслатмалар","dummy","3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?/Мессенжерлар (Telegram","WhatsApp) орқали эслатмалар"
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?/Кафил шахснинг телефон қилиши","dummy","3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?","Кафил шахснинг телефон қилиши"
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?/Шахсан (юзма-юз) тушунтириш","dummy","3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?","Шахсан (юзма-юз) тушунтириш"
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?/Бошқа вариант","dummy","3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?","Бошқа вариант"
"3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?/Эслатмаларнинг самараси йўқ","dummy","3.11.2. Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар?","Эслатмаларнинг самараси йўқ"
"3.11.2.1 Сизнингча кредитларни ўз вақтида қайтариш (тўлаш) бўйича эслатмалар ва огоҳлантиришларнинг энг самарали воситаси қайсилар? (Бошқа)","single_or_text",,
"3.12 Ўз вақтида кредитни тўлаш сизнинг кредит рейтингизни ошириши мумкинлиги ҳақидаги маълумот олиш тўлов интизомини оширишга рағбатлантирадими?","single_or_text",,
"3.13 Кечикиш кредит тарихига қандай таъсир қилишини биласизми?","single_or_text",,
"3.14 Қарз (кредит, насия) олганингиздан афсусланасизми?","single_or_text",,
"3.14 Қарз олиш ва уни қайтариш маъданиятини шакллантириш билан боғлиқ таклиф ва фикрларингиз","open_text",,
"3.16 Респондент телефон рақами:","open_text",,
"has_loan","numeric",,
